YEAR,MONTH,AREA_ID,AREA,DISTRICT_ID,DISTRICT,SITE,store,SITE_DES,LOCATION,PART_NO,PROD_DES,PART_STATUS,CL_BAL, SEL_CASH_PRICE ,PROD_FAMILY,PROD_FAMILY_DES,CAT -01 ,COMMODITY,COM_DES,BRAND_CODE,BRAND_DES, MRP , MOP , Current Discount % ,COMMENTS / DISCOUNT GUIDELINE
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,NORMAL,BRP-CASERL20,BRISTO NON-STICK CASSEROLE 20 CM,O,1," 6,099.00 ",PF101,KITCHENAPP - NON STICK COOKWARE,,2G925,BRISTO NON STICK COOKWARE,BR243,BRISTO," 6,099 "," 6,099 ", 0 , Provide additional 30% for display units and total upto 80% for damage units 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,DISPLAY,BRP-CASERL20,BRISTO NON-STICK CASSEROLE 20 CM,O,1," 6,099.00 ",PF101,KITCHENAPP - NON STICK COOKWARE,,2G925,BRISTO NON STICK COOKWARE,BR243,BRISTO," 6,099 "," 6,099 ", 0 , Provide additional 30% for display units and total upto 80% for damage units 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,REVERTS,BY-RIDEMTB,Rider Montan bicycle,A,1," 12,000.00 ",PF003,BICYCLE,,2G176,SINGER BICYCLE,BR044,SINGER," 12,000 ", -   , -   , -   
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,NORMAL,CAN-B-790-C,CANON INK BOTTLE 790 CYAN,A,1," 5,299.00 ",PF209,PRINTER ACCESSORIES,,2G099,PRINTERS,BR009,CANNON," 5,299 ", -   , -   , -   
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,NORMAL,CAN-B-790-M,CANON INK BOTTLE 790 MAGENTA,A,1," 5,299.00 ",PF209,PRINTER ACCESSORIES,,2G099,PRINTERS,BR009,CANNON," 5,299 ", -   , -   , -   
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,NORMAL,CAN-B-790-Y,CANON INK BOTTLE 790 YELLOW,A,1," 5,299.00 ",PF209,PRINTER ACCESSORIES,,2G099,PRINTERS,BR009,CANNON," 5,299 ", -   , -   , -   
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,NORMAL,KLV-32R326E,SONY 32 POWER BANK LED TV,O,1," 24,999.00 ",PF093,TELEVISIONS - LED,,2G515,SONY LED TV,BR047,SONY," 24,999 ", -   , -   , Up to 50% 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,CLEARANCE,LF-BUDGET-ST-CRW-S,BUDGET STOOL - CAIRO WALNUT,L,2," 6,199.00 ",PF189,FURNITURE - MODULER,,2GF13,FURNITURE FACTORY DRESSING STOOL,BR044,SINGER," 6,199 ", -   , -   , 50% offered for L and O locations Based on the condition go further with 10% portions 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,DAMAGED,LF-CHERRY-M-CLM-S,Modular Ironing Center - CLM Color,L,1," 18,399.00 ",PF189,FURNITURE - MODULER,,2GFM2,MODULAR OTHER - FACTORY,BR044,SINGER," 18,399 ", -   , -   , 50% offered for L and O locations Based on the condition go further with 10% portions 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,NORMAL,LF-CLARA-STU-SWW-S,Clara Study Table,O,1," 52,799.00 ",PF303,FURNITURE-OTHER - FURNITURE MODULAR,,2GFM2,MODULAR OTHER - FACTORY,BR044,SINGER," 52,799 "," 47,519 ", 0 , 50% offered for L and O locations Based on the condition go further with 10% portions 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,CLEARANCE,LF-ECO-BDQ-BON-S,ECO QUEEN SIZE BED,L,1," 81,899.00 ",PF189,FURNITURE - MODULER,,2GFS7,MODULAR BED - FAC,BR044,SINGER," 81,899 ", -   , -   , 50% offered for L and O locations Based on the condition go further with 10% portions 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,CLEARANCE,LF-GALANT-CLM-S,GALANT WARDROBE - CATHEDREL ELM,L,1," 128,999.00 ",PF189,FURNITURE - MODULER,,2GFS6,MODULAR WARDROBE - FACTORY,BR044,SINGER," 128,999 ", -   , -   , 50% offered for L and O locations Based on the condition go further with 10% portions 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,DISPLAY,LF-HALDEN-BSC-BL-S,HALDEN BEDSIDE CUPBOARD-BLACK GREY,L,2," 28,799.00 ",PF189,FURNITURE - MODULER,,2GA10,MODULAR BSC PRE FAC,BR283,PREMIUM FURNITURE," 28,799 ", -   , -   , 50% offered for L and O locations Based on the condition go further with 10% portions 
